userName,score,at,content
Ageung R,4,2024-08-16 00:40:57,Posisi bus kok suka berubah2 sendiri ya. Lebih sering mundur waktu dibuka. Padahal rajin update aplikasi
farida Bedu malwi,5,2024-08-22 09:48:39,Assallammuallaikum saya pribadi sangat senang adanya bis kota bisa membantu masyarakat Balikpapan dalam bepergian Aman yaman dan murah sekali saya sangat setuju dan saya sangat puas banget dengan pelayanannya makasih Mitra Darat🙏
Fatihatul Aflah,5,2024-09-05 04:39:55,Bagus bisa lihat posisi bus scr real time. Cuman sering error. Waktu dan lokasi mendadak tidak berjalan. Mohon diperbaiki lagi
Giovanni Man,5,2024-09-29 05:18:10,"Sudah sangat membantu, tapi mohon untuk update lagi, karena ada trayek baru di Surabaya, yaitu FD4 dari SIER ke Kota Lama. Trims."
Haidar,5,2024-06-22 10:25:12,"Aplikasinya bagus dan sangat berguna dibandingkan dengan aplikasi sekelas lainnya. Minim bug, tracking sesuai, dan mencakup banyak kendaraan umum. UI nya pun bagus dan mudah digunakan."
Christys Novia Rossyta,5,2024-08-13 00:21:49,Sudah bagus apps nya tapi utk yg rute purbaya - tj perak tidak pernah update.. jadi susah banget ngedetect sampe mana busnya. Mohon lebih ditingkatkan lagi utk GPSnya supaya memudahkan
Phiphit Fitriani,2,2024-08-12 10:44:19,Mitra darat please deh sering di maintenance aplikasinya. Malah error terus. Posisi mobil tidak akurat. Malah sering ngebug gak bisa dibuka
Djinaka ST,5,2024-08-04 15:57:42,"Pelayanan ok, cuma sayang pendaftaran tarif khusus Biskita Bogor terkendala karena data pendaftar calon yg tidak update belum online dengan disdukcapil walaupun pendaftar sebenarnya sudah layak mendapatkan tarif khusus, mohon perhatiannya, agar biskita semakin di cintai oleh masyarakat transportasi."
15_Jauharotun Nafisah,5,2024-09-13 13:31:46,"Harga terjangkau, waktu akurat, dan pelayanan memuaskan. Terimakasih untuk layananya"
Bayu Tidar,1,2024-08-31 22:24:43,Mohon untuk perawatan aplikasinya lebih di tingkatkan kembali supaya tidak sering error karena menghambat pekerjaan saya terimakasih
Shimakaze Class,1,2024-09-04 11:51:15,Kenapa update Aplikasinya di sore hari di jam orang-orang perlu melihat posisi bus dan bukan di malam hari? Saya kewalahan menunggu bus nya.
Rabina Tresna,5,2024-09-04 06:01:22,Aplikasinya cukup akurat untuk tracking bus dan lokasi halte atau tempat pemberhentian bus
Vivien Novella,5,2024-09-04 15:47:30,"Saran min, untuk teman bus tambahin lagi jam operasional nyaa dong buat daerah bandung, jangan sampe jam 8 malem :( karna kadang suka pulang kerjaa minimal jam 9/10 min gituu terakhir biar bisa slow kalau ke halte huhu"
Ahmad Panji,4,2024-08-16 06:40:08,Tolong ditingkatkan lagi terutama fitur untuk melacak bus AKAP
Rafiq Mizan,5,2024-10-11 14:31:15,"Aplikasi sangat bagus, tampilan mudah dimengerti, semua fitur sangat bagus dikemas dalam interface yang rapih, pengingat kedatangan bus yang paling berguna, hanya terkadang live trackingnya agak sedikit terlambat, sisanya oke."
Rohmat Ismail,5,2024-09-22 16:15:47,"mudah digunakan dan berguna untuk tracking bis kita, terimakasih"
Syafitrah alif Raihan,5,2024-06-16 06:47:29,Aplikasinya sangat bagus untuk membantuk kita disaat mau naik bus dan tolong dong min kembalikan lagi suara bell nya disaat pas mau dipencet jadwal bus nya overall saya suka sama aplikasi ini Tingkatkan terus ya min
Erlan Dwi c,5,2024-07-04 04:43:28,"Pertama kali naik BST, sangat efisien cocok untuk perjalanan pemula sangat membantu dengan fitur mitra darat, mungkin aplikasinya ditambahkan fitur fitur e- money dll lebih keren lagi seperti apk KAI terkini"
Mohamad Irwan,4,2024-05-13 03:13:17,Setelah saya coba aplikasi mitra darat untuk pengecekan KIR tidak update. Punya temen saya sudah diperpanjang KIRnya namun di aplikasi mitra darat kedaluarsa. Mohon untuk diperbaiki
Ishmah Ulya,5,2024-09-25 05:15:08,Aplikasinya bagus. Live tracking nya akurat.
H.U.M,5,2024-08-16 02:04:39,"Aplikasi muantap. Semoga ke depannya ada fitur cari tempat yang dituju, ada di mana dan harus naik bus koridor mana. Semoga sukses selalu."
Saya Dary,5,2024-09-26 08:15:08,Bagus appnya buat pantau Bus Rapid Transport
Fjr 99,2,2024-07-22 13:00:25,"Tolong kedepannya ditambah untuk jam kedatangan dan jadwal yang jelas , karna mungkin banyak yang pnasaran tapi tidak tahu jadwal ."
King Ranu,1,2024-05-24 07:05:21,"Bis nya lama yg trans semanggi (kenjeran - purabaya PP), dulu waktu awal2 tiap 10-15 menit ada sekarang rata2 1 jam baru lewat kadang lebih, padahal pegawai dan busnya banyak. Makanya yg teman2 kita sudah mulai kebiasaan naik angkutan sekarang jadi malas, kalau tidak siap mending ga sa diada2kan, klo punya pegawai malas pecat saja daripada ribet"
Alfredi Alfredi,1,2024-05-15 05:09:52,"Nda tau fungsi halte pemberhentiannya untuk apa, katanya menunggu di halte tapi udah 4 halte di tempati ga ada satupun bus yang singgah, mana jauh lagi,"
Ino 46,5,2024-05-12 10:11:41,"Aplikasi nya sudah bagus, cuma kurang lengkap sj utk data kendaraan yg di tampilkan saat di cek melalui aplikasinya,"
Muhammad Amri Murad,1,2024-06-13 04:51:25,"Aduan sudah 1 bulan, tapi belum direspon, aplikasi yang tidak ramah. Teman bus makassar tidak mau singgah ambil penumpang di halte batua raya, saya sudah buat aduan tapi tdk direspon sampai ulasan ini dibuat. Bus yg sy tunggu dan lambaikan tangan Bus TB II 16 dan Bus DD 7091 RF. Sangat kecewaaaa."
Muchammad Arfian Az-zuhdi,5,2024-09-21 04:30:33,"Tolong di update, biskita depok banyak yg hilang haltenya🙏🏻"
sovia lumbaa,5,2024-09-30 10:05:04,"Teman bus Makassar Panakukang galesong pelayanannya luar biasa semogaha bus di tambah dan halte alfamidi jalan andimapaingga Barombong di tambahkan, hemat mudah di akses dan tepat waktu"
Joni AH Sitorus,3,2024-10-09 02:34:03,Kurang update fiturnya.
Wiwied Dive,5,2024-10-03 12:13:03,"sangat terbantu, terimakasih mitra darat"
zoom8bappeda manado,5,2024-10-07 14:13:30,Hallo kapan Kota Manado (Sulawesi Utara) bisa ada Teman Bus seperti di Makassar ??
The Greatest Diver of All Time,5,2024-05-08 03:04:42,Trackingnya tepat serta selalu update. Aplikasinya juga tidak susah dimengerti.
Sumardi Mawardi,5,2024-09-12 04:00:41,Klo boleh ditambahkan metode pembacaan kartu uji KIR lewat fitur NFC
Irvan Cahyo,5,2024-08-17 13:58:24,Aplikasi yang luas biasa. Semoga dipertahankan kualitasnya
Firly Meizo,5,2024-07-12 23:41:42,"Agak lumayan lama nunggu di halte koridor. 15 menitan... Bis bersih, aman nyaman. Mudahan program lanjut dan berkembang"
Raden Marsha,1,2024-03-25 06:32:00,"Aplikasi mengatakan bahwa jaringan tidak optimal, padahal jaringan saya baik baik saja apk lannya juga berfungsi dengan baik. Tolong diperbaiki lagi. Jadi kesusahan ni mau liat halte dan tracking bus sudah dimana :("
Salsabilla Diana Putri,3,2024-03-26 00:46:30,"Overall sudah bagus. Tapi saran aja, tolong ditambahi kita bisa nulis sendiri rute dari mana mau kemana kayak di app ojol, karena butuh banget buat tau harus naik bis apa buat ke tujuan itu, trs juga buat tau harus naik dari halte mana, dan juga buat tau harus turun dihalte mana. Karena tadi aku coba di app nya gak bisa nulis rute sendiri, adanya cuma data dari halte ini akan tiba bus brp gituh. Sekian terimakasih, semoga saran diterima🙏🏻🤗✨"
Kadek S,4,2024-03-13 00:48:34,"Tolong untuk mesin scan kartunya lebih bagus kualitas nya. Masa baru dipasang sebulan udah banyak yang gak connect. Jadi mau gak mau hrus pake QR dan kalo gak punya QR gak boleh naik, harus tunggu bis dibelakang yang mesinnya bisa digunakan. Kalo dari kebersihan bis, AC, keramahan pengemudi udah TOP banget 👍"
Gigo Giri Itu Saja,5,2024-02-10 02:12:17,Aplikasinya bisa memudahkan pengguna bus baik teman bus maupun non teman bus seperti trans jogja. Terimakasih ya. Saran saya : tambahkan Trans Jakarta di aplikasi mitra darat biar bisa memudahkan melihat rute tanpa harus download aplikasi lain (bisa lewat mitra darat)
Sidik Gedang,1,2024-03-08 01:51:50,UNTUK PROGRAM MUDIK GRATIS Standby jam 07:55 gass war tiket jam 08:00...Sudah bisa masuk lalu bisa pilih kursi.. Sudah masuk ke pengisian data.. Tiba² keluar ke menu awal pilih lokasi pemberangkatan lagi.. Masuk lagi kok tiba² tiket sudah habis.. Kok bisa yha min???... Mbok yha minta tolong sistemnya diperbarui lagi.. Semisal sudah pilih kursi data sistem yg masuk dikunci.. Terimakasih bukane ngeluh hanya sekedar masukan.
Musdalipah Hadiman,5,2024-05-02 08:06:21,Sangat membantu memantau kedatangan armada bus..akurat..semoga bisa dipertahankan aplikasinya..good
rindu indriani,5,2024-08-01 02:45:02,"Sangat membantu sekali pengecekan KIR asli atau palsu, dokumen uji KIR masih rawan sekali dipalsukan"
Siti Nurjanah,3,2024-08-16 03:10:35,Kenapa semakin sulit untuk membuka apk ini. Di tambah lagi jam oprasionalnya tidak sesuai jadwal yang tertera di apk.
Imd Musnaj,5,2024-08-18 22:11:27,"Terimakasih mitra darat, sangat membantu kegiatan saya sehari-hari, di Balikpapan khususnya."
Jyshyaa26_,5,2024-08-05 21:03:19,sangat membantu untuk tracking bus dan menginformasikan waktu kedatangan bus dengan tepat 🫶🏻
RADITYA SAPUTRA KUSUMAH,1,2024-07-16 07:39:34,Mohon di perbaiki lagi soal jaringan nya masa jaringan normal enggak bisa masuk
Khoirunisya Putri Anggraini,3,2024-08-02 00:00:58,tolong diperbaiki lagi sistemnya terkadang tidak sesuai dengan peta yang dikasih
Luddy Patra,5,2024-07-31 11:20:27,skrg udh mantap kl dulu mmg srg error n miss tingkatkan dan PERTAHANKAN MITRA DARATTTT
Yofie Ziddan Ilmi,5,2024-06-21 00:13:01,"Aplikasinya untuk UI nya bagus dan lebih kekinian, petanya akurat dan lacak bus nya mantap"
heni eunike,2,2024-08-30 14:08:00,"biskita depok kok gitu sih ga berhenti di tiap halte. Udh nungguin lama pas dateng dilewatin gitu aja, sedih bgt, akhirnya balik lagi naik gojek, hadeh"
Ravinto Putra Haeruman,3,2024-08-20 06:11:05,Tolong aplikasi disesuaikan dengan lokasi bus
Adi Wijaya,5,2024-08-17 06:11:06,"Aplikasi ini membuktikan bahwa tidak semua aplikasi milik pemerintah itu sampah, toh ada juga yang bermanfaat, walau cuma segelintir."
Yoga Adi Putra,5,2024-05-16 13:54:59,Tracking teman bus sangat jelas dan akurat. UI aplikasi juga sangat baik. Salah satu aplikasi pemerintah terbaik yang pernah saya gunakan👍
Putri Ayuningsih,1,2024-03-30 06:54:13,"masa setiap jurusan tertulis ""tiket habis""semua...biar banyak yg download ni aplikasi dibikin penasaran,akhirnya download trs nyoba sampe bisa,tpi gak bisa2...akhirnya ya yg untung aplikasinya kebuka trs...kita kuotanya abis iyaa,klo yg pake kuota data...kasian.."
Ok Cute,2,2023-03-12 15:39:40,"Kenapa gak bisa login, loadingnya lama Gagal terus & gak dapat kode OTP nya.. mohon diperbaiki min. Kalau sdah nyaman dipakai baru penilaian diganti sementara saya kasih bintang 2 dulu karena belum nyaman untk login2 nya dan belum bisa mengecek lainnya.makasih min"
yani massage,1,2024-03-19 07:15:06,"Pemerintah membuat aplikasi yang kurang Competent masih banyak Bug yang perlu di perbaiki, dan untuk cara kerja aplikasi kurang efisien terlalu membuat ribet di bulan puasa seperti ini untuk mendapat tiket gratis justru keluar duit banyak untuk validasi dan memberi uang calo di tempat validasi data , saya harap untuk oknum di tempat validasi di ringkus semua, justru dengan adanya validasi membuat peluang colo di tempat mencari uang memberi tiket yang membayar kepada calo calo."
Heri Setiyo Nugroho,5,2024-05-04 09:11:55,"aplikasi Mitra Darat bagus. cek jalur, koridor bus kota, lebih praktis dan tidak tersesat. jadwal koridor bus tak membingungkan pelanggan bus kota. mudah dicari dan tepat. mantap"
Warno Suwarno,1,2024-05-28 10:37:38,"Beberapa Kali Saya Coba Gunakan Fitur Cek Laik Kendaraan, Ternyata Hasilnya Tidak Valid Untuk Kendaraan Angkutan Barang Atau Angkutan Pariwisata Untuk NoPol Luar DKI. Saat Saya Coba Untuk Cek Microbus Pariwisata Kenalan Saya, Dia Komplain Saya Kirimi Screenshot Hasil Uji Laik Aplikasi Mitra Darat Yg Kedaluwarsa Sejak November 2022. Sbb Dia Rutin Melaksanakan Uji Kir Tiap 6 Bulan. Trs Dia Kirim QR Kode Uji Kendaraan Mereka & Setelah Saya Buka Ternyata Masih Berlaku Sampai Juni 2024"
Muhammad Ihsan Udin,5,2024-05-12 14:51:42,"Sangat membantu saya dalam pemilihan armada bus saat akan menggunakan layanan bus tersebut , kir/ijin trayeknya hidup /mati dll"
KYUHAR,5,2024-05-23 09:01:59,"perkembangan sangat signifikan! selanjutnya, tambahkan layanan Saran / Kritik. agar kami dapat memberikan saran kepada Kementerian Perhubungan"
TaurA Media,2,2024-06-19 13:11:21,"Tolong itu gaji Sopir dan Kondekturnya jangan di tahan sampai 2 bullan. Tapi 1 tahun aja. Supaya trans metro pekanbaru mati, dan Maxim jadi berjaya. Masa tiap naik trans metro obrrolan sopir sama kondekturnya masalah belum gajian mulu? Duitnya di pake dulu sama kepala kepala dishub nya ya?"
Andi Desma,5,2024-07-05 04:53:07,"Aplikasinya bagus untuk mantau keberadaan bis, sangat terbantu sekali"
tuti amitshu,5,2024-05-23 11:40:56,"Mantap, nunggu bis jadi enak karena bisa di tracking.......!!!!"
ARD Bersaudara,1,2023-03-18 05:24:15,"Saran kedepan pakai link sj spt JR jangan apk, apk kuat2an signal. Yg bisa masuk cuma pengguna wifi dan yg jaringannya kuat & stabil. Operator cell biasa gigit jari. Gak bisa masuk sama sekali, sekalinya masuk dah habis(dah minim yang akses). JR operator cell biasa bisa masuk. Dan kalau bisa dipisah isi kelengkapan dan ambil tiket kayak JR, yang keluarga besar belum selsai isi data diri keburu habis kursinya. Perlu perhatian juga masalah calo, ini calo kayaknya banyak banget. Dijual 350rb/tiket"
Internal Persada,1,2024-03-14 02:59:10,"Aplikasi cupu, user experience nya gak dapet, terutama fitur mudik gratis. Masa pendaftaran dibikin online harus ada validasi ke posko (offline). Nanggung2 bikin aplikasi. Sekalian aja validasinya juga via online dong. Ribet sukanya !!! Gw yang kerja programmer aja bingung pake aplikasinya apalagi yang gaptek. Anehnya aplikasi jelek gini masih ada yg ngasih bintang 4 & 5, heraann"
Fiki Ariyani,5,2023-03-15 04:58:12,Saya hanya ingin titip pesan untuk semua pemerintah tolong di tambah kouta nya. Kasihan orang rantau yang belum bisa pulang ke kampung halamannya. Di karnakan tiket nya begitu mahal hingga 2-3x lipat. Terimakasih 🙏
Murni Suci Utami,1,2024-07-23 09:30:40,isinya cuma loading doang tiap klik koridor. diperbaharui malah makin eror
Karel Bondan,5,2024-01-10 08:19:38,"Baru tau ada aplikasi sekeren ini yang bisa pantau pergerakan bus secara akurat, bisa lihat di banyak kota sekaligus juga. Salah satu aplikasi paling bagus, stabil, ringan, dan berguna sejauh ini dari pemerintah. Maju terus layanan transportasi publik Indonesia."
Dewi Untari,1,2023-03-15 08:57:24,Saat login gak ada tempat untuk masukin no WhatsApp.jadi gak dapat OTP. jadi gak bisa daftar. Tolong saran nya gimana min. Ini juga udah tanggal 14 udah selesai memperbaiki peningkatannya.kok masih tidak bisa
TRI TANTO,1,2024-03-10 02:00:17,"Saya hari ini sdh dapet tiket, blm sempet ss, pas buka lagi hilang. Gmn ini servernya..... Masak harus berburu lagi. Tolong perbaiki, klo blm siap sistem online, ya offline kyk dl lagi. Wong perubahan system dr offline ke online karena dl itu covid, skrg sdh ngga ada lagi."
rudi,5,2024-09-16 10:36:57,sangat memmbantu rute perjalanan bis ..terutama bus tayo
Hifzon,1,2024-03-17 10:24:02,"Sangat kecewa sudah pesan kursi lagi isi data pas selesai ternyata tiket habis,semestinya kl sudah isi data mestinya di sistemnya sudah terkunci.jd tidak bisa diambil pengisi data lain.jd tolong kedepan nya lebih baik lagi.terima kasih"
45_ Lis Sakinah,1,2024-03-25 00:25:47,"Wahh min. Aplikasinya akhir2 ini error ya. Hmmm padahal mau liat track teman bus. Tapi gabisa, gara2 ada tulisan katanya kesalahan jaringan. Padahal aku buka aplikasi track bus lainnya atau apk lainnya ya aman2 aja. Agak kesel sii. Ya semoga diperbaiki ya min🥺"
kusuma jati,2,2024-07-16 04:22:27,Tidak update masa berlaku tidak sesuai data dengan buku kir area Wiyung Jatim aplikasi Januari di buku Juli 24 habis masa berlaku tolong di benahi trimakasih
AA'DJ Permana (DJ Permana),4,2024-08-12 05:21:30,Kadang aplikasinya lemot sehingga posisi bis tdk akurat
Hendra Wira,5,2024-09-16 10:34:42,sanggat muda di pahami.
Muhammad Bahrudin,5,2024-05-12 00:53:02,"Aplikasi sdh bagus, pertahankan dan tingkatkan lg kualitasnya"
WILLIAM PANJAITAN,1,2024-10-07 09:59:51,"Tolong dishub, supaya di sediakan rute dan akomodasi teman bus mulai dari jl jahe raya pasar simalingkar kota medan sampai ke lapangan merdeka melewati kantor gubsu. Karena terlalu mahal x ongkos kalau naik angkot apalagi naik ojek online."
Moehamad Adllan,1,2024-10-10 06:15:58,Trans Metro dewata rute K6B gk buka pintu masuk bus cuma berhenti doang terus jalan lagi saya sudah nunggu di halte di lewati 2x bus
Nofi Ida,1,2023-03-14 04:39:30,"Dapet info dari kantor tgl 13 maret Pagi, langsung download aplikasi ehh tapi lagi maintenance katanya, tunggu lah sampe siang masih ga bisa cek tiket, sore juga begitu, terus malemnya malah pas dicek tiket udah habis, katanya mulai pendaftaran tgl 13 maret 14.00, tapi malemnya udah habis tiketnya gimana nih. Aku kasih bintang 1 dulu sampe dapet tiket ya min"
Alif Dafi patria,1,2024-08-02 01:01:23,cacat sering kena bug lah cok bener lagi
moch arifin,5,2024-10-04 23:38:59,bagus sangat bermanfaat
Faizal Ghani Santosa,5,2024-05-02 11:52:38,Sangat membantu dalam memantau bus yang sedang berjalan ke halte.
faizal purnama,5,2024-07-01 06:39:29,"Tingkatkan, yang kurang perbaiki yang bagus pertahankan 👌"
Langit Senja,5,2024-07-12 06:45:14,"App buatan Nusantara Global Inovasi selalu terbaik, tidak ada yang buruk, terbaik se Indonesia."
Fika Luluatun Niswah,2,2024-03-08 03:40:32,"Aplikasinya bagus, tp penangangan dlm pendaftaran tiket mudik gratis , tiket habis terus padhal sudah dipantau sesuai waktunya, giliran ada tujuan tanpa ada keterangan tiket habis, tampilannya gak jelas.. tolong bantuannya min 🙏"
Rulinaldo Seven,2,2024-03-26 03:44:27,"min maaf saya mau komplain..tlong segera diperbaiki krna aplikasi mitra darat kenapa tdk bisa dibuka pengguna provider 3 (three), sedangkan smua aplikasi selain mitra darat berjalan normal di hp sya..tlong segera cari penyebab nya.."
Ludro al-Banjary,3,2023-03-13 22:43:00,"Di sy bandwidth nya lola banget.. Gk bs konek untuk buka, tp untuk buka aplikasi lain oke2 j, hy buka aplikasi ini j yg lama. Sbnry masalah nya dmn ya, di hp atau diaplikasi nya. Sy mau daftar mudis blm bisa2, dan tdk muncul kolom pilihan untuk memasukkan no hp nya. mohon dibantu ya kaka... Terimakasih 🙏"
Siti Masitoh,1,2024-03-16 10:35:32,Seumur-umur merantau belum pernah ikut mudik gratis kali ini mau coba..ko susahnya minta ampun ya buka aplikasi gak jelas banget.. sampai hapus download lagi... Katanya suruh dipantau terus dari 07.30 sudah stanby sampai siang begitu aja nggak ada perubahan
Mi Lee,3,2024-02-26 00:14:21,"Mohon ditingkatkan lg fitur pelacakannya, bisnya suka nyandet tidak berpindah jadi bingung sudah sampai atau belum. Aplikasinya saat dibuka lebih stabil dr pd teman bus tp fitur pelacakannya lebih buruk"
mas Duki,4,2024-03-07 01:41:07,Daftar nya susah banget... mudik gratis..mutar..mutar terus... ga muncul muncul...jam buka pendaftaran ga tau jam brapa tiap harinya...jadi harus buka buka aplikasinya dulu.... untuk kedepannya biar ga berebut pendaftaran..sebaiknya..tiap pendaftaran dapat lingnya dulu...seperti yg di jasa Raharja.. jadi aplikasinya mudah di buka...waktu pendaftaran
Ridwan Akbar,5,2024-02-24 03:32:19,"Buat bapak ibu terimakasih telah membuat aplikasi sebaik ini. Terharu aplikasi pemerintah ada yang seberguna ini, dibuktikan rating yang 4,7 memang sangat layak. Bintang 5 dari saya juga. Semoga Transjakarta bisa ikut kesini juga dan ui nya bisa lebih baik lagi 👍"
maulana cell,1,2023-03-15 05:10:05,"Mohon ma'af sebelum nya,,bapak / ibu atmin,,mau nanya,program mudik gratis,,saya sudah mencoba,dan masuk ke aplikasih,,mitra darat,,saya masuk ke menu,,mudig gratis,,tetapi,,semua tiket habis,,semua jurusan sedangkan ini baru di buka pendaftaran nya,,nah pertanyaan saya,,apa kah itu benar apa tidak,,tolong info nya,,terimakasih sebelum nya.."
Sugiyanto Klego BOYOLALI,1,2024-03-06 05:06:10,"Aplikasi Mitra Darat jelek banget. Aplikasi sekelas Kementerian perhubungan kok gak jelas, tolong di perbaiki lagi agar tampilan dan fiturnya lebih bagus dan menarik lagi."
Nurhasan asan,1,2024-03-11 01:05:44,Aplikasinya bagus...tapi program nya baru dibuka program mudik pas masuk kowota mudik tiket habis...yg jelas dong ..masa baru beberapa menit dibuka tiket sudah habis ..ini ada oknum pastinya...mending kaya dulu 2013 daftar langsung Dateng jadi jelas abis /masih ada nya...salam Indonesia sehat
Arzaquna Labda,1,2024-03-09 02:26:31,"Menunggu ga buka2 mudik gratis sekalinya buka langsung habis...hadeuuuhhh mungkinkan itu pesanan semua yg sudah terdaftar. Tgl pastinya untuk lokasi tertentu tidak ada sekalinya buka langsung habis... Kementrian perhubungan darat gitu lho yg jauh dari KKN, nepotisme, dan suap..(katanya)"
sukirno sukses,2,2023-03-14 10:25:06,"Sudah download, coba masuk ke aplikasi seharian sampai malam gak bisa -bisa masuk, saya coba lagi waktu hampir subuh baru Bisa, begitu bisa eh smua tiket gratis nya Udah HABIS,😄😄😄😄 apes."
Novi Kartika Sari,2,2024-03-31 22:04:50,"Login pakai hp sendiri ga bisa masalah jaringan mulu padahal jaringan stabil buat akses lain"" ga masalah, tp login dihp lain kok bisa. Masalah ny dimana ya"
Ek0 Rifky Fit,2,2024-03-15 05:16:14,"aplikasinya bagus layanannya yang kurang, kalau ingin mudik menggunakan motor harus pesan tiket pulang pergi. sedangkan saat pemesanan pulang pergi harus pesan terpisah. itu menyusahkan kami para rakyat yang berebut tiket sampai servernya berat. Berbeda dengan MOTIS yang otomatis pesan pulang pergi. Sangat disayangkan semoga tahun depan layanannya mudik gratis bisa diperbaiki. selamat berlebaran mohon maaf lahir batin 🙏"
Rizal Muharam,2,2024-03-10 00:52:17,"Jujur nanya sebenarnya, program mudik gratis di apk ini beneran ada gk sih... Jgn cuma ngasih harapan palsu, kok tiap kali mau daftar/pesan tiket gk bisa terus.. Dan itu bkn cuma aku aja, terimakasih semoga bermanfaat buat semuanya"
Taufik susanto,1,2024-03-22 01:27:19,"Tipu tipu kau, tiap hari juga tiket habis, sistem nya seperti apa? Duit rakyat di kembalikan lagi ke rakyat tapi dengan banyak lagu, yang habis lah, antusiasme banyak lah, seolah-olah ga ada persiapan, lama lama malas aku bayar pajak,, ga guna"
Iwan Setiawan,5,2023-03-13 17:44:07,Min sy dh login tp ko ga ada menu buat masukin No tlp / WA y.. Trs sy udah masuk ke menu Mudik Gratis setelah mengisi kota keberangkatan dan kota tujuan ko g ada muncul isi data yg mau daftarin y?? Tolong infonya y min mkasih...
Fajrin Abdillah,1,2024-03-09 01:12:35,"Mohon maaf ini gimana yaa, fitur mudik gratis tiap saya akses tidak bisa padahal udah stand by di aplikasi, kenapa yang lain bisa dapet tiket sedangkan saya masuk saja tidak bisa. Pas udh bisa masuk masih ngisi gabisa terus pas udh oke ternyata udh keisi tolong dong kerjasamanyaaaa"
Fardatuz zahronia,4,2023-03-13 07:07:39,"Kenapa ini HTTP failed terus, katanya ada kuota mudik gratis dibuka jam 14:00 , dari tadi pagi udh buka2 aplikasinya, sampe di coba berkali kali dn di uninstall dn d instal lagi, tetep failed, jadinya gabisa daftar mudik gratis,, sedih banget di php-in"
