userName,content,sentiment_label
Haidar,aplikasi bagus guna banding aplikasi kelas minim bug tracking sesuai cakup kendara ui nya bagus mudah,positif
Christys Novia Rossyta,bagus apps nya utk yg rute purbaya - tj perak update susah banget ngedetect sampe bus mohon tingkat utk gpsnya mudah,positif
Phiphit Fitriani,mitra darat please deh maintenance aplikasi error posisi mobil akurat ngebug gak buka,negatif
Djinaka ST,layan ok sayang daftar tarif khusus biskita bogor kendala data daftar calon yg update online disdukcapil daftar layak tarif khusus mohon perhati biskita cinta masyarakat transportasi,positif
15_Jauharotun Nafisah,harga jangkau akurat layan muas terimakasih layananya,positif
Bayu Tidar,mohon awat aplikasi tingkat error hambat kerja terimakasih,negatif
Shimakaze Class,update aplikasi sore jam orang posisi bus malam kewalahan tunggu bus nya,negatif
Rabina Tresna,aplikasi akurat tracking bus lokasi halte henti bus,positif
Vivien Novella,saran min teman bus tambahin jam operasional nyaa daerah bandung sampe jam malem karna kadang suka pulang kerjaa minimal jam  min gituu biar slow halte huhu,positif
Ahmad Panji,tolong tingkat fitur lacak bus akap,positif
Rafiq Mizan,aplikasi bagus tampil mudah erti fitur bagus kemas interface rapih ingat datang bus guna terkadang live trackingnya lambat sisa oke,positif
Rohmat Ismail,mudah guna tracking bis terimakasih,positif
Syafitrah alif Raihan,aplikasi bagus membantuk saat bus tolong min kembali suara bell nya saat pas pencet jadwal bus nya overall suka aplikasi tingkat ya min,positif
Erlan Dwi c,kali bst efisien cocok jalan mula bantu fitur mitra darat aplikasi fitur fitur - money dll keren apk kai kini,positif
Mohamad Irwan,coba aplikasi mitra darat kece kir update temen panjang kir aplikasi mitra darat kedaluarsa mohon baik,positif
Ishmah Ulya,aplikasi bagus live tracking nya akurat,positif
H.U.M,aplikasi muantap moga depan fitur cari tuju bus koridor moga sukses,positif
Saya Dary,bagus appnya pantau bus rapid transport,positif
Fjr 99,tolong depan tambah jam datang jadwal karna pnasaran jadwal,negatif
King Ranu,bis nya yg trans semanggi kenjeran - purabaya pp - menit jam kadang pegawai bus yg teman biasa angkut malas mending ga sa ada klo pegawai malas pecat ribet,negatif
Alfredi Alfredi,nda tau fungsi halte henti tunggu halte udah halte tempat ga satu bus singgah,negatif
Ino 46,aplikasi nya bagus lengkap sj utk data kendara yg tampil cek aplikasi,positif
Muhammad Amri Murad,adu direspon aplikasi ramah teman bus makassar singgah ambil tumpang halte batua raya adu tdk direspon ulas bus yg sy tunggu lambai tangan bus tb ii bus dd rf kecewaaaa,negatif
Muchammad Arfian Az-zuhdi,tolong update biskita depok yg hilang halte ,positif
sovia lumbaa,teman bus makassar panakukang galesong layan semogaha bus halte alfamidi jalan andimapaingga barombong tambah hemat mudah akses,positif
Joni AH Sitorus,update fiturnya,negatif
Wiwied Dive,bantu terimakasih mitra darat,positif
zoom8bappeda manado,hallo kota manado sulawesi utara teman bus makassar,positif
The Greatest Diver of All Time,trackingnya update aplikasi susah erti,positif
Sumardi Mawardi,klo metode baca kartu uji kir fitur nfc,positif
Irvan Cahyo,aplikasi luas moga tahan kualitas,positif
Firly Meizo,lumayan nunggu halte koridor menit bis bersih aman nyaman mudah program kembang,positif
Raden Marsha,aplikasi jaring optimal jaring apk lannya fungsi tolong baik susah ni liat halte tracking bus mana,negatif
Salsabilla Diana Putri,overall bagus saran aja tolong tambah nulis rute mana kayak app ojol butuh banget tau bis tuju trs tau halte tau turun halte coba app nya gak nulis rute data halte bus brp gituh sekian terimakasih moga saran terima  ,negatif
Kadek S,tolong mesin scan kartu bagus kualitas nya pasang bulan udah gak connect gak hrus pake qr kalo gak qr gak tunggu bis belakang mesin kalo bersih bis ac ramah kemudi udah top banget ,positif
Gigo Giri Itu Saja,aplikasi mudah guna bus teman bus non teman bus trans jogja terimakasih ya saran tambah trans jakarta aplikasi mitra darat biar mudah rute download aplikasi mitra darat,positif
Sidik Gedang,program mudik gratis standby jam gass war tiket jam masuk pilih kursi masuk isi data tiba menu pilih lokasi berangkat masuk tiba tiket habis yha min mbok yha tolong sistem baru pilih kursi data sistem yg masuk kunci terimakasih bukane ngeluh dar masuk,negatif
Musdalipah Hadiman,bantu pantau datang armada busakuratsemoga tahan aplikasinyagood,positif
rindu indriani,bantu kece kir asli palsu dokumen uji kir rawan palsu,positif
Siti Nurjanah,sulit buka apk jam oprasionalnya sesuai jadwal tera apk,negatif
Imd Musnaj,terimakasih mitra darat bantu giat hari balikpapan,positif
Jyshyaa26_,bantu tracking bus informasi datang bus    ,positif
RADITYA SAPUTRA KUSUMAH,mohon baik jaring nya jaring normal masuk,negatif
Khoirunisya Putri Anggraini,tolong baik sistem terkadang sesuai peta kasih,negatif
Luddy Patra,skrg udh mantap kl mmg srg error miss tingkat tahan mitra daratttt,positif
Yofie Ziddan Ilmi,aplikasi ui nya bagus kini peta akurat lacak bus nya mantap,positif
heni eunike,biskita depok gitu sih ga henti halte udh nungguin pas dateng dilewatin gitu aja sedih bgt gojek hadeh,negatif
Ravinto Putra Haeruman,tolong aplikasi sesuai lokasi bus,negatif
Adi Wijaya,aplikasi bukti aplikasi milik perintah sampah manfaat gelintir,positif
Yoga Adi Putra,tracking teman bus akurat ui aplikasi salah aplikasi perintah baik guna,positif
Putri Ayuningsih,jurus tulis tiket habissemuabiar yg download ni aplikasi bikin penasaranakhirnya download trs nyoba sampe bisatpi gak bisaakhirnya ya yg untung aplikasi buka trskita kuota abis iyaaklo yg pake kuota datakasian,negatif
Ok Cute,gak login loadingnya gagal  gak kode otp nya mohon baik min sdah nyaman pakai nilai ganti kasih bintang nyaman untk login nya ecek lainnyamakasih min,negatif
yani massage,perintah aplikasi competent bug baik kerja aplikasi efisien ribet puasa tiket gratis duit validasi uang calo validasi data harap oknum validasi ringkus validasi peluang colo cari uang tiket bayar calo calo,negatif
Heri Setiyo Nugroho,aplikasi mitra darat bagus cek jalur koridor bus kota praktis sesat jadwal koridor bus bingung langgan bus kota mudah cari mantap,positif
Warno Suwarno,kali coba fitur cek laik kendara hasil valid kendara angkut barang angkut pariwisata nopol dki coba cek microbus pariwisata kenal komplain kirim screenshot hasil uji laik aplikasi mitra darat yg kedaluwarsa november sbb rutin laksana uji kir trs kirim qr kode uji kendara  buka laku juni,negatif
Muhammad Ihsan Udin,bantu pilih armada bus layan bus kir ijin trayek hidup mati dll,positif
KYUHAR,kembang signifikan tambah layan saran  kritik saran menteri hubung,positif
TaurA Media,tolong gaji sopir kondektur tahan bullan aja trans metro pekanbaru mati maxim jaya trans metro obrrolan sopir kondektur gaji mulu duit pake kepala kepala dishub nya ya,negatif
Andi Desma,aplikasi bagus mantau ada bis bantu,positif
tuti amitshu,mantap nunggu bis enak tracking,positif
ARD Bersaudara,saran depan pakai link sj spt jr apk apk kuat signal yg masuk guna wifi yg jaring kuat  stabil operator cell gigit jari gak masuk sekali masuk dah habisdah minim akses jr operator cell masuk pisah isi lengkap ambil tiket kayak jr keluarga selsai isi data keburu habis kursi perhati calo calo kayak banget jual rb tiket,negatif
Internal Persada,aplikasi cupu user experience nya gak dapet fitur mudik gratis daftar bikin online validasi posko offline nanggung bikin aplikasi aja validasinya via online ribet suka gw kerja programmer aja bingung pake aplikasi gaptek aneh aplikasi jelek gin yg ngasih bintang  heraann,negatif
Fiki Ariyani,titip pesan perintah tolong kouta nya kasihan orang rantau pulang kampung halaman karnakan tiket nya mahal - lipat terimakasih ,positif
Murni Suci Utami,isi loading doang klik koridor baharu eror,negatif
Karel Bondan,tau aplikasi keren pantau gera bus akurat lihat kota salah aplikasi bagus stabil ringan guna perintah maju layan transportasi publik indonesia,positif
Dewi Untari,login gak masukin whatsappjadi gak otp gak daftar tolong saran nya gimana min udah tanggal udah selesai baik peningkatannyakok,negatif
TRI TANTO,sdh dapet tiket blm sempet ss pas buka hilang gmn servernya masak buru tolong baik klo blm sistem online ya offline kyk dl ubah system dr offline online dl covid skrg sdh ngga,negatif
rudi,memmbantu rute jalan bis bus tayo,positif
Hifzon,kecewa pesan kursi isi data pas selesai tiket habissemestinya kl isi data mesti sistem terkuncijd ambil isi data lainjd tolong depan nya lagiterima kasih,negatif
45_ Lis Sakinah,wahh min aplikasi error ya hmmm liat track teman bus gabisa gara tulis salah jaring buka aplikasi track bus apk ya aman aja kesel sii ya moga baik ya min,negatif
kusuma jati,update laku sesuai data buku kir area wiyung jatim aplikasi januari buku juli habis laku tolong benah trimakasih,negatif
AA'DJ Permana (DJ Permana),kadang aplikasi lot posisi bis tdk akurat,positif
Hendra Wira,sanggat muda paham,positif
Muhammad Bahrudin,aplikasi sdh bagus tahan tingkat lg kualitas,positif
WILLIAM PANJAITAN,tolong dishub sedia rute akomodasi teman bus jl jahe raya pasar simalingkar kota medan lapang merdeka lewat kantor gubsu mahal ongkos angkot ojek online,negatif
Moehamad Adllan,trans metro dewata rute kb gk buka pintu masuk bus henti doang jalan nunggu halte lewat bus,negatif
Nofi Ida,dapet info kantor tgl maret pagi langsung download aplikasi ehh maintenance tunggu sampe siang ga cek tiket sore malemnya pas cek tiket udah habis daftar tgl maret malemnya udah habis tiket gimana nih kasih bintang sampe dapet tiket ya min,negatif
Alif Dafi patria,cacat kena bug cok bener,negatif
moch arifin,bagus manfaat,positif
Faizal Ghani Santosa,bantu pantau bus jalan halte,positif
faizal purnama,tingkat baik bagus tahan ,positif
Langit Senja,app buat nusantara global inovasi baik buruk baik indonesia,positif
Fika Luluatun Niswah,aplikasi bagus tp penangangan dlm daftar tiket mudik gratis tiket habis padhal pantau sesuai gilir tuju terang tiket habis tampil gak tolong bantu min ,negatif
Rulinaldo Seven,min maaf komplaintlong baik krna aplikasi mitra darat tdk buka guna provider three smua aplikasi mitra darat jalan normal hp syatlong cari sebab nya,negatif
Ludro al-Banjary,sy bandwidth nya lola banget gk bs konek buka tp buka aplikasi oke hy buka aplikasi yg sbnry nya dmn ya hp aplikasi nya sy daftar mud blm tdk muncul kolom pilih masuk hp nya mohon bantu ya kaka terimakasih ,negatif
Siti Masitoh,umur rantau mudik gratis kali cobako susah ampun ya buka aplikasi gak banget hapus download suruh pantau stanby siang aja nggak ubah,negatif
Mi Lee,mohon tingkat lg fitur lacak bis suka nyandet pindah bingung aplikasi buka stabil dr pd teman bus tp fitur lacak buruk,negatif
mas Duki,daftar nya susah banget mudik gratismutarmutar ga muncul munculjam buka daftar ga tau jam brapa harinyajadi buka buka aplikasi depan biar ga rebut pendaftaransebaiknyatiap daftar ling duluseperti yg jasa raharja aplikasi mudah bukawaktu daftar,positif
Ridwan Akbar,terimakasih aplikasi haru aplikasi perintah guna bukti rating layak bintang moga transjakarta kesini ui nya ,positif
maulana cell,mohon ma af nyabapak  atminmau nanyaprogram mudik gratissaya mencobadan masuk aplikasihmitra daratsaya masuk menumudig gratistetapisemua tiket habissemua jurus buka daftar nyanah sayaapa kah tidaktolong info nyaterimakasih nya,negatif
Sugiyanto Klego BOYOLALI,aplikasi mitra darat jelek banget aplikasi kelas menteri hubung gak tolong baik tampil fiturnya bagus tarik,negatif
Nurhasan asan,aplikasi bagustapi program nya buka program mudik pas masuk kowota mudik tiket habisyg menit buka tiket habis oknum pastinyamending kaya daftar langsung dateng abis masih nyasalam indonesia sehat,negatif
Arzaquna Labda,tunggu ga buka mudik gratis sekali buka langsung habishadeuuuhhh mungkin pesan yg daftar tgl pasti lokasi sekali buka langsung habis tri hubung darat gitu lho yg kkn nepotisme suapkatanya,negatif
sukirno sukses,download coba masuk aplikasi hari malam gak -bisa masuk coba subuh eh smua tiket gratis nya udah habis apes,negatif
Novi Kartika Sari,login pakai hp ga jaring mulu jaring stabil akses ga tp login dihp ny mana ya,negatif
Ek0 Rifky Fit,aplikasi bagus layan mudik motor pesan tiket pulang pergi mesan pulang pergi pesan pisah susah rakyat rebut tiket servernya berat beda motis otomatis pesan pulang pergi sayang moga layan mudik gratis baik selamat lebaran mohon maaf lahir batin ,negatif
Rizal Muharam,jujur nanya program mudik gratis apk beneran gk sih jgn ngasih harap palsu kali daftar pesan tiket gk bkn aja terimakasih moga manfaat,negatif
Taufik susanto,tipu tipu kau tiket habis sistem nya duit rakyat kembali rakyat lagu habis antusiasme ga siap malas bayar pajak ga,negatif
Iwan Setiawan,min sy dh login tp ko ga menu masukin tlp  wa trs sy udah masuk menu mudik gratis isi kota berangkat kota tuju ko muncul isi data yg daftarin tolong info min mkasih,positif
Fajrin Abdillah,mohon maaf gimana yaa fitur mudik gratis akses udah stand aplikasi dapet tiket masuk pas udh masuk ngisi gabisa pas udh oke udh isi tolong kerjasamanyaaaa,negatif
Fardatuz zahronia,http failed kuota mudik gratis buka jam pagi udh buka aplikasi sampe coba kali kali dn uninstall dn instal tetep failed gabisa daftar mudik gratis sedih banget php-in,positif
Nanang Kuswanto,blm hasil daftar mudik gratis kasih bintang aplikasi program mudik gratis sangat bantu masyarakat yg butuh mawas baik butuh terimakasih mitradarat perintah yg gagas moga senantiasa sehat jasmani  rohani syukur jg optimisme positif thinking maju indonesia jaya negeri,positif
Muria Perdana,hasil login pilih menu mudik gratis masuk lokasi berangkat tuju klik cari yg gambar sj bgmn solusiny,negatif
Hari Subahtiar,kocak dah ganggu jam daftar karena gratis lucu sisa kursi input data selesai ganggu kursi penuh,negatif
Muchammad Ilham Chamim,fitur mudah tinggal tap tap ga bingung informasi sukses mitra darat,positif
Miftah rahma,sistem ny jaring buffering makas ditjenhubdat ide mudik gratis,positif
Muhammad Ikhsan,transportasi butuh masyarakat datang yg mampir makassar kuliner istirahat sayang mudah ut akses bajar yg jawa,negatif
Siswanto,aplikasi sampahprofil masuktpi ga daftar mudik balik gratiscuma lihat doankkursi penuhtingal kursi dsb,negatif
jumadi ibnu,mitradarat orang pikir daftar mudik gratis kendala ga responsive cs yg bls sistem buka apk ga pendafataran mudik bis pas buka armada sdh habis adu ga respon apk langsung posko klo,negatif
winda febriani,hai min udah daftar udah dapet info tiket mudik gratis akses pagi sampe jam gin gk muncul menu daftar tiket gratis mohon bantu minn,negatif
Aep Saepudin,terimakasih ada program mudik gratis sara khusus mudik gratis aplikasi akses hp android orang tengah bawah banyak hp android kalah cepat orang kelas yg pakai iphone laptop terimakasih admin,negatif
wahyu Riyanzdie,ga main org dalem banget jm ga buka dri smua hp gimana cari tiket gratis nya nglek ko bareng smua tiket habis ga da konfirmasi tiket jm brp nya stiap sya cek jam sya cek nya tiket habis,negatif
ayu yanto,khusus bis mudik gratis percaya klo fair war ticket sulit masuk error trus ticket habis nya ticket sdh booking oknum yg tanggung,negatif
M.Saad Ujang,tingkat kembang layan user nasional dg mutlak apk user depan harap tdk gagal loading dsbnya apresiasi bintang ya,positif
Baydzofi,min mautanya tampil didownload tanggal maret opsi tracking bus cek laik gambar contoh,positif
Fitri Handayani,mudik gratis nya dr kemarin masuk cari lokasi tuju berangkat tampil tiket habis hr standby dr tanggal jam buka,positif
Maryanah 01,terimakasih kemenhub ditjet hub berkat aplikasi mitradarat daftar mudik gratis mudah efisien tingkat performa moga maju,positif
Arman Dino,hai mimin cantik ganteng gimana info terang tiket mudik habis kemaren cek cek tetep sedia info tiket mudik,positif
Herry Mulyadi,download udah habis tiket buka udah habis udah eror aplikasinyatolong baik baik mudik gratis orang orang yg butuh terima kasih,negatif
Taroni Mei,fitur ayang gak bukakhusus mudik gratis tiket sedia siap lounching aplikasi,positif
PrinzEugen ch.Ã£ÂÂÃ£ÂÂªÃ£ÂÂ³Ã£ÂÂÃ¢ÂÂ¢Ã£ÂÂªÃ£ÂÂ¤Ã£ÂÂ²Ã£ÂÂ³,aplikasi lambat sinyal lancarkadang suka eror restart aplikasi gimana nih min,negatif
Siti Lutfiyah,fadtar oake gmail tp ga otp tampil nya beda sm deskripsi gimna jd ga daftar mudik gratis nya,negatif
Dhino Ar,aplikasi gabisa akses sinyal bagus akses time maintenance gaada pemberitahuan,negatif
ULan Sinney,login pakek email tp gk suruh input waitu gimana yasmoga dapet tiket gratisnyaklo dapet ganti bintang ,positif
Anggah Kurniawan,manfaat penguna kendara jalur darat guna mudik lebaran diadakanya mudik gratis aplikasi mudah pendaftaranya atur antri offline,positif
Nove Brian Suyatin,aplikasi daftar mudik gratis gak sih berita sebar buka aplikasi gak guna gak guna ,negatif
Nuroi Nuroidah,cek tujuanuntuk yg sumatra palembang nggk terang yalogin emng sumatra blm adatp cilacap muncul terang tiket habis,negatif
Mamet Ragiel,aplikasi bagus sayang masyarakat butuh aplikasi susah conectnya gimana layan digital dr aplikasi aja susah manfaat masyarakat,negatif
hasrini hamid,tlong tambah unit nya rute mall panakukang - labuh galesong  karna kerja kantor jam,positif
Widiarto Boy,aplikasi payah adu admin respon lambat war tiket mudik gratis ganggu antisipasi war aplikasi optimal karna emang byk yg akses,negatif
Yekti Sarastiti,aplikasi bantu moga sukses mitra darat,positif
Dian Lestari kumba,suka error lokasi bus nya,negatif
Arip Kurniyawan,mantab moga kembang rute armada,positif
dee ah,download tp muncul fitur track laik gambar menu fitur ya min,positif
Dwi Prihatin Diningsih,apk nya emang susah login yaa udah ulang kali gak beranda nya aja gak fitur emang apk gin gimana yaa,negatif
Ahmad Sany Al Asyari,mantap lihat tracking biskita,positif
Dedi Ruswandi,suka nya cek data kir hehe,positif
Achmad Mashuri,bantu masyarakat utk solusi jalan,positif
Imah Nawawi,asik banget mobil adem aman nyaman ,positif
Pak Panji,bantu tp sy msh bingung jg sih ,positif
021- Ardy Teguh Yulanda,bagus jarang alami live track henti henti henti tracking jam sesuai jam terimakasih,positif
Agung Purnama,aplikasi bagus mudah paham,positif
Dimas Vidina,layan buruk stuck,negatif
sindet,aplikasi perintah baik perintah aplikasi,positif
Sultan Rabbani,aplikasi bagus tracking bus live harap bagus widget yg mudah datang jadwal bus halte favorit,positif
Ivan Mulyadi,gilir pesan susah banget tgl buka jam gilir masuk tgl jam pesan tiket tiket abis dri jakarta tubanpadahal jaring sinyal bagus woowww biasacepet banget habisnyamohon maaf kecewa,negatif
Bakti Fahmi Ilmi Ilmi,mantep serius bantu buta map,positif
Asti Bie,daftar mudik gratis buka pkl tpi dri jam error ga buka smpe ga masuk http failed mulu terang nya aja daftar online tpi system,negatif
Meli Na,lumayantapi ngebugnya,positif
Supriyanto 85,aplikasi download mudik gratis pas daftar masuk sekali masuk tiket dah habis aplikasi ga ,negatif
Enos Tarigan,bagus tolong rute jl setia budi medan bus metro deli kalista bus listrik,positif
Enrico Ginting,bus udahh sikit nunggu jam jam,negatif
PIONS 236,aplikasi fungsi,negatif
Fitria Septiyanti,udah download minggu coba login gbs mulu udh unistal download lg jelek banget plis baik biar orng orng neng transportasi,negatif
Kirana Navyan A,min apknyaaa update,positif
Gilang rahman dika,bus ga henti bus operasi,negatif
Nur Zakiyah,bantu terimakasih,positif
Hafidh Maulady,bantu aplikasi,positif
Ariyo Abrar lakshito,ganggu,positif
Arman Dino,aplikasi parah sistem saat daftar mudik gratis eror ga kaya kemarin lancar tolong baik maksimal mungkin layan,negatif
Hendrik Gunawan,membantucuma ajar rute nya,positif
resta veny,bantu aplikasi tau mana ada tayo nya terima kasih ,positif
Romli Romly,bantu transportasi bus mitra darat,positif
Alfin Nugroho,bus makassar singgah halte sesuai titik halte singgah bus,negatif
Warung3 Kucrit,kali aja trans metro pasundan jurus ikea alun bandung operasi sampe jam malam kerja jurus bandung pulang pake bis trimakasih,positif
Sri Muryani,srh update tp update susah bngt sy blm faham bngt mngeecek bus aka bus nya mohon jlskn,negatif
No Name,tolong warna teman bus map warna halte biar usul warna bus jd merah kuning biar aplikasi trmksh,positif
resa fahrisal,tunggu halte bus singgah ambil jalur kanan,negatif
Febri ramadhan,gps nya lambat ama bus,negatif
Mia M,alkhamdulillah tunggu sekian lamatp blm tp tetep kasih bintang karna harga pemerintahdalam upaya bantu ringan beban rakyat program mudikgratis moga manfaat yg,positif
Huwal fadilat Ramadhan,bus trans maminasata nggak henti sesuai halte yg tera aplikasi,positif
Harta Is,kalo luar bpp supirx seragam rapi ga karna hr minggu yaa bis penuh sesak jd panas,negatif
Gede Puja Astika,posisi bus akurat mantap,positif
Carline Lourencia,bagus sih bagus attitude pas harga anak mahasiswa ajar org dewasa anak mahasiswa masuk kuliah kuliah malu depan org bnyak nyuruh tunjukin portal kartu mahasiswa sedngkan utk kuliah cetak dpt wibesitenya sedangakn anak ajar sma yg bayar rb sopir komentar rugi,negatif
Wawan Murdock,payah bgt mudik gerat buka jam malem ga daftar cm untung aja yg masuk mending daftar langsung line pake online nyusahin pd nyerah tp yg masuk tuju dah abis ,negatif
wahyu dewantara,bagus nih salah aspek buka informasi publik,positif
sis manto,login kemarin gak failed login tp nomor telpon jd kayak versi daftar mudik gratis gimana,positif
Hit4m Legam,gps bus trans metro deli hilang semuabus gak datang nya penuh gimana mending bayar cepat gratis lambat,negatif
Virgybelumsembuh,aplikasi bagus cuman bug bus akap hilang mohon baik ,positif
Nathaniel Cristyanto,login tulis http failed please try kali nyoba login hapus download ulang,negatif
Sani Taufik,ya min masuk terang http failed coba beberapa hp kendala ya tau,negatif
Jual Beli,pas daftar mudik eh langsung ga akses dg notif http failed gapapa aneh pas lg butuh eror ga guna,negatif
Slamet,bagus terima kasih ada mudik gratis nikmat mudik gratis daftar mitra darat tiket habis tiket habis,positif
Indah Arfan,mantap layan muas moga tambah kuota arus balik trutama kalong jakarta,positif
Eflin Selfina,program mudik gratis nya  tiket abis mulu war dri jam ko dri aja tuju aja smua abis bagus sistem nya,negatif
sunardi adi,aplikasi ribet mudik gratis kursi sdh pilih pilih orang sdh isi data tumpang kursi habis tdk bs simpan data tumpang tlg baik,negatif
ahmad kader,oww jancokkk aplikasi indonesia mbuletttt tll spionase tanggal sekian buka daftar tdk login jaring sibuk apk gk manfaat,negatif
Flam Elder10,bantu min server nya tolong banget login susah bener war tiket ndak dapet speed oke rumah mitra darat,negatif
Septi Novia,layan ramah bantu mohon baik sistem aplikasi biar gak loading,positif
Cubung Wasiso,jam apk error ga aksesmau pake wifi data tetep mohon baik,negatif
Dieni Ayu Saraswati,gak fungsi perintah masuk kerja aja test bejibun apk bagus aja gak fungsi,negatif
arnot siki,yg terminal pulo gebang tiket si yg udah trus pas buka tiket eror mulu gilir tiket tau dahh habis aneh,negatif
andrea muladi,buka aplikasi teman bus dewata option rute nya buka,positif
Ahmad Noufal,standby menit war tiket pas udah ganggu nunggu menit jaring masalah habis standby menit kalah masukin rute aja gabisa,negatif
Jamal Baraba,akurat apk nya mantaphanya sayang aplikasi lagijadi ribet pantau bis tranpakuan bogor biskita,positif
Srie Maulida,login pakai email aplikasi notif format salah expired solusi ya akun udah lebaran kemarin,negatif
sheva veronika,aplikasi bantu pas buka aplikasi error gilir udah tiket habis haduhh nyisahin aja mah,negatif
Kiageng Selo,tunggu mudik gratis pas aja buka bilang habis coba kali daftar mudik gratis aneh bin ajaib omong kosong mudik gratis mending hapus dr hp aja aplikasi aplikasi gak guna,negatif
Dian Herdiana,aplikasi ga serba dada kayak aplikasi sirekap gagal perintah serius layan masyarakat bidang teknologi kecewa layan perintah developer aplikasi era milenial tinggal segi aplikasi publik,negatif
Gunawan Wibowo,knp ya sya udh stay jam pagitpi habis tiket coba tiket habis klau kota penuh tutup aja kasi yg ken pulkam tpi tiket habis,negatif
Nia Nia,knp sangt sulit skli tuk dpt tiket sy smpe dateng bulungan tdk ad yg bntusdangkn hp tetep dn trs bsabrujg bbrp hri udh nga bsa msuk tuk dpt tiket,negatif
ari anto,udah loginakan tiket jurus dah habis semuaapakah tolong penjelasanyapakah tiket borong pegawai kemenhub semuatolong penjelasany,negatif
denis setiawan,kabar tgl jam buka daftar mudik gratis khusus org cepat nyata nya buka pas jam sampe jam aplikasi eror sekali uda habis ajj main kasi yg harap,negatif
Nurul Salsabila,tolong min baik masak tulisanny ga internet pdhal sinyal nya bagus kendala aplikasi bikin telat masuk kampus ,negatif
Ahmad Sobari,tiket gratisnyoba download mitra darat barangkali aja dapattolong ketik tiket habis melulu ya makasih,positif
Farida Diana,tulis lokasi tulis cari pilih urut berangkat tiket mudik nya,negatif
Ronny Gareng,terimakasih sempat mudik barengdapet tiket pulang pergi serta motorsekali terimakasih moga depan kasih mudah masuk daftar aplikasi validasinya alhamdulillah cepat antri,positif
Yudha Adhi,update buka muncul tulis httpfailed please try gimana nih min daftar,positif
Pamuji Sukma,buruk bantu info nya bantu rakyat yg butuh mudik masuk aplikasi sesuai jam buka tiket langsung habis aplikasi sehat gak ya,negatif
Muhammad Dalail,aplikasi blom  kecewa utk daftar mudik gratis susah buka nya buka kuota habis dlm dr menit,negatif
Cahya Gaming,tiket udah habis aja tiket pas jam aplikasi lag jaring aman lucu emang aplikasi milik perintah,negatif
Wueland Luphe,terimakasih selenggara progam mudik gratis inisemakin maju aplikasi tingkat yaa,positif
Wigunawan Wawan,aplikasi nya baik nya kalo udh dpt kursi kunci otomatis ngebleng sinyal bagus pastinyabpermainan oknum,negatif
Muhammad Hadiansyah,pantau tanggal maret kemarin sesuai jam nya status kouta nya penuh,negatif
Park Chanyeol,coba adu karna ga direspon samsek gatau kyak ga guna aja kek cuman tau jalur bus aja,negatif
Theo R W,profesional nunggu bis jam bis nya terima tumpang pemberitahuan lambat,negatif
Diy Proyektor Indonesia,error sekalianya udah habis wilayah aneh pinggir jakarta ga kaya mayor pakai aplikasi sulit bgini,negatif
Raihansyah Permana,datang posisi tinggal puter cileunyi,negatif
Sony Suryadi,halo min mitra darat cari tombol menu mudik gratis gk ya app mitra darat,positif
Bela Okta,gak login ya tulisanya failed terussaya coba ganti akun akun tetep tulis failed,positif
Budi Darmawan,manfaat,positif
