userName,score,at,content
Rohmat Ismail,5,2024-09-22 16:15:47,mudah guna tracking bis terimakasih
Syafitrah alif Raihan,5,2024-06-16 06:47:29,aplikasi bagus membantuk saat bus tolong min kembali suara bell nya saat pas pencet jadwal bus nya overall suka aplikasi tingkat ya min
Erlan Dwi c,5,2024-07-04 04:43:28,kali bst efisien cocok jalan mula bantu fitur mitra darat aplikasi fitur fitur - money dll keren apk kai kini
Mohamad Irwan,4,2024-05-13 03:13:17,coba aplikasi mitra darat kece kir update temen panjang kir aplikasi mitra darat kedaluarsa mohon baik
Ishmah Ulya,5,2024-09-25 05:15:08,aplikasi bagus live tracking nya akurat
H.U.M,5,2024-08-16 02:04:39,aplikasi muantap moga depan fitur cari tuju bus koridor moga sukses
Saya Dary,5,2024-09-26 08:15:08,bagus appnya pantau bus rapid transport
Fjr 99,2,2024-07-22 13:00:25,tolong depan tambah jam datang jadwal karna pnasaran jadwal
King Ranu,1,2024-05-24 07:05:21,bis nya yg trans semanggi kenjeran - purabaya pp - menit jam kadang pegawai bus yg teman biasa angkut malas mending ga sa ada klo pegawai malas pecat ribet
Alfredi Alfredi,1,2024-05-15 05:09:52,nda tau fungsi halte henti tunggu halte udah halte tempat ga satu bus singgah
Ino 46,5,2024-05-12 10:11:41,aplikasi nya bagus lengkap sj utk data kendara yg tampil cek aplikasi
Muhammad Amri Murad,1,2024-06-13 04:51:25,adu direspon aplikasi ramah teman bus makassar singgah ambil tumpang halte batua raya adu tdk direspon ulas bus yg sy tunggu lambai tangan bus tb ii bus dd rf kecewaaaa
Muchammad Arfian Az-zuhdi,5,2024-09-21 04:30:33,tolong update biskita depok yg hilang halte 
sovia lumbaa,5,2024-09-30 10:05:04,teman bus makassar panakukang galesong layan semogaha bus halte alfamidi jalan andimapaingga barombong tambah hemat mudah akses
Joni AH Sitorus,3,2024-10-09 02:34:03,update fiturnya
Wiwied Dive,5,2024-10-03 12:13:03,bantu terimakasih mitra darat
zoom8bappeda manado,5,2024-10-07 14:13:30,hallo kota manado sulawesi utara teman bus makassar
The Greatest Diver of All Time,5,2024-05-08 03:04:42,trackingnya update aplikasi susah erti
Sumardi Mawardi,5,2024-09-12 04:00:41,klo metode baca kartu uji kir fitur nfc
Irvan Cahyo,5,2024-08-17 13:58:24,aplikasi luas moga tahan kualitas
Firly Meizo,5,2024-07-12 23:41:42,lumayan nunggu halte koridor menit bis bersih aman nyaman mudah program kembang
Raden Marsha,1,2024-03-25 06:32:00,aplikasi jaring optimal jaring apk lannya fungsi tolong baik susah ni liat halte tracking bus mana
Salsabilla Diana Putri,3,2024-03-26 00:46:30,overall bagus saran aja tolong tambah nulis rute mana kayak app ojol butuh banget tau bis tuju trs tau halte tau turun halte coba app nya gak nulis rute data halte bus brp gituh sekian terimakasih moga saran terima  
Kadek S,4,2024-03-13 00:48:34,tolong mesin scan kartu bagus kualitas nya pasang bulan udah gak connect gak hrus pake qr kalo gak qr gak tunggu bis belakang mesin kalo bersih bis ac ramah kemudi udah top banget 
Gigo Giri Itu Saja,5,2024-02-10 02:12:17,aplikasi mudah guna bus teman bus non teman bus trans jogja terimakasih ya saran tambah trans jakarta aplikasi mitra darat biar mudah rute download aplikasi mitra darat
Sidik Gedang,1,2024-03-08 01:51:50,program mudik gratis standby jam gass war tiket jam masuk pilih kursi masuk isi data tiba menu pilih lokasi berangkat masuk tiba tiket habis yha min mbok yha tolong sistem baru pilih kursi data sistem yg masuk kunci terimakasih bukane ngeluh dar masuk
Musdalipah Hadiman,5,2024-05-02 08:06:21,bantu pantau datang armada busakuratsemoga tahan aplikasinyagood
rindu indriani,5,2024-08-01 02:45:02,bantu kece kir asli palsu dokumen uji kir rawan palsu
Siti Nurjanah,3,2024-08-16 03:10:35,sulit buka apk jam oprasionalnya sesuai jadwal tera apk
Imd Musnaj,5,2024-08-18 22:11:27,terimakasih mitra darat bantu giat hari balikpapan
Jyshyaa26_,5,2024-08-05 21:03:19,bantu tracking bus informasi datang bus    
RADITYA SAPUTRA KUSUMAH,1,2024-07-16 07:39:34,mohon baik jaring nya jaring normal masuk
Khoirunisya Putri Anggraini,3,2024-08-02 00:00:58,tolong baik sistem terkadang sesuai peta kasih
Luddy Patra,5,2024-07-31 11:20:27,skrg udh mantap kl mmg srg error miss tingkat tahan mitra daratttt
Yofie Ziddan Ilmi,5,2024-06-21 00:13:01,aplikasi ui nya bagus kini peta akurat lacak bus nya mantap
heni eunike,2,2024-08-30 14:08:00,biskita depok gitu sih ga henti halte udh nungguin pas dateng dilewatin gitu aja sedih bgt gojek hadeh
Ravinto Putra Haeruman,3,2024-08-20 06:11:05,tolong aplikasi sesuai lokasi bus
Adi Wijaya,5,2024-08-17 06:11:06,aplikasi bukti aplikasi milik perintah sampah manfaat gelintir
Yoga Adi Putra,5,2024-05-16 13:54:59,tracking teman bus akurat ui aplikasi salah aplikasi perintah baik guna
Putri Ayuningsih,1,2024-03-30 06:54:13,jurus tulis tiket habissemuabiar yg download ni aplikasi bikin penasaranakhirnya download trs nyoba sampe bisatpi gak bisaakhirnya ya yg untung aplikasi buka trskita kuota abis iyaaklo yg pake kuota datakasian
Ok Cute,2,2023-03-12 15:39:40,gak login loadingnya gagal  gak kode otp nya mohon baik min sdah nyaman pakai nilai ganti kasih bintang nyaman untk login nya ecek lainnyamakasih min
yani massage,1,2024-03-19 07:15:06,perintah aplikasi competent bug baik kerja aplikasi efisien ribet puasa tiket gratis duit validasi uang calo validasi data harap oknum validasi ringkus validasi peluang colo cari uang tiket bayar calo calo
Heri Setiyo Nugroho,5,2024-05-04 09:11:55,aplikasi mitra darat bagus cek jalur koridor bus kota praktis sesat jadwal koridor bus bingung langgan bus kota mudah cari mantap
Warno Suwarno,1,2024-05-28 10:37:38,kali coba fitur cek laik kendara hasil valid kendara angkut barang angkut pariwisata nopol dki coba cek microbus pariwisata kenal komplain kirim screenshot hasil uji laik aplikasi mitra darat yg kedaluwarsa november sbb rutin laksana uji kir trs kirim qr kode uji kendara  buka laku juni
Muhammad Ihsan Udin,5,2024-05-12 14:51:42,bantu pilih armada bus layan bus kir ijin trayek hidup mati dll
KYUHAR,5,2024-05-23 09:01:59,kembang signifikan tambah layan saran  kritik saran menteri hubung
TaurA Media,2,2024-06-19 13:11:21,tolong gaji sopir kondektur tahan bullan aja trans metro pekanbaru mati maxim jaya trans metro obrrolan sopir kondektur gaji mulu duit pake kepala kepala dishub nya ya
Andi Desma,5,2024-07-05 04:53:07,aplikasi bagus mantau ada bis bantu
tuti amitshu,5,2024-05-23 11:40:56,mantap nunggu bis enak tracking
ARD Bersaudara,1,2023-03-18 05:24:15,saran depan pakai link sj spt jr apk apk kuat signal yg masuk guna wifi yg jaring kuat  stabil operator cell gigit jari gak masuk sekali masuk dah habisdah minim akses jr operator cell masuk pisah isi lengkap ambil tiket kayak jr keluarga selsai isi data keburu habis kursi perhati calo calo kayak banget jual rb tiket
Internal Persada,1,2024-03-14 02:59:10,aplikasi cupu user experience nya gak dapet fitur mudik gratis daftar bikin online validasi posko offline nanggung bikin aplikasi aja validasinya via online ribet suka gw kerja programmer aja bingung pake aplikasi gaptek aneh aplikasi jelek gin yg ngasih bintang  heraann
Fiki Ariyani,5,2023-03-15 04:58:12,titip pesan perintah tolong kouta nya kasihan orang rantau pulang kampung halaman karnakan tiket nya mahal - lipat terimakasih 
Murni Suci Utami,1,2024-07-23 09:30:40,isi loading doang klik koridor baharu eror
Karel Bondan,5,2024-01-10 08:19:38,tau aplikasi keren pantau gera bus akurat lihat kota salah aplikasi bagus stabil ringan guna perintah maju layan transportasi publik indonesia
Dewi Untari,1,2023-03-15 08:57:24,login gak masukin whatsappjadi gak otp gak daftar tolong saran nya gimana min udah tanggal udah selesai baik peningkatannyakok
TRI TANTO,1,2024-03-10 02:00:17,sdh dapet tiket blm sempet ss pas buka hilang gmn servernya masak buru tolong baik klo blm sistem online ya offline kyk dl ubah system dr offline online dl covid skrg sdh ngga
rudi,5,2024-09-16 10:36:57,memmbantu rute jalan bis bus tayo
Hifzon,1,2024-03-17 10:24:02,kecewa pesan kursi isi data pas selesai tiket habissemestinya kl isi data mesti sistem terkuncijd ambil isi data lainjd tolong depan nya lagiterima kasih
45_ Lis Sakinah,1,2024-03-25 00:25:47,wahh min aplikasi error ya hmmm liat track teman bus gabisa gara tulis salah jaring buka aplikasi track bus apk ya aman aja kesel sii ya moga baik ya min
kusuma jati,2,2024-07-16 04:22:27,update laku sesuai data buku kir area wiyung jatim aplikasi januari buku juli habis laku tolong benah trimakasih
AA'DJ Permana (DJ Permana),4,2024-08-12 05:21:30,kadang aplikasi lot posisi bis tdk akurat
Hendra Wira,5,2024-09-16 10:34:42,sanggat muda paham
Muhammad Bahrudin,5,2024-05-12 00:53:02,aplikasi sdh bagus tahan tingkat lg kualitas
WILLIAM PANJAITAN,1,2024-10-07 09:59:51,tolong dishub sedia rute akomodasi teman bus jl jahe raya pasar simalingkar kota medan lapang merdeka lewat kantor gubsu mahal ongkos angkot ojek online
Moehamad Adllan,1,2024-10-10 06:15:58,trans metro dewata rute kb gk buka pintu masuk bus henti doang jalan nunggu halte lewat bus
Nofi Ida,1,2023-03-14 04:39:30,dapet info kantor tgl maret pagi langsung download aplikasi ehh maintenance tunggu sampe siang ga cek tiket sore malemnya pas cek tiket udah habis daftar tgl maret malemnya udah habis tiket gimana nih kasih bintang sampe dapet tiket ya min
Alif Dafi patria,1,2024-08-02 01:01:23,cacat kena bug cok bener
moch arifin,5,2024-10-04 23:38:59,bagus manfaat
Faizal Ghani Santosa,5,2024-05-02 11:52:38,bantu pantau bus jalan halte
faizal purnama,5,2024-07-01 06:39:29,tingkat baik bagus tahan 
Langit Senja,5,2024-07-12 06:45:14,app buat nusantara global inovasi baik buruk baik indonesia
Fika Luluatun Niswah,2,2024-03-08 03:40:32,aplikasi bagus tp penangangan dlm daftar tiket mudik gratis tiket habis padhal pantau sesuai gilir tuju terang tiket habis tampil gak tolong bantu min 
Rulinaldo Seven,2,2024-03-26 03:44:27,min maaf komplaintlong baik krna aplikasi mitra darat tdk buka guna provider three smua aplikasi mitra darat jalan normal hp syatlong cari sebab nya
Ludro al-Banjary,3,2023-03-13 22:43:00,sy bandwidth nya lola banget gk bs konek buka tp buka aplikasi oke hy buka aplikasi yg sbnry nya dmn ya hp aplikasi nya sy daftar mud blm tdk muncul kolom pilih masuk hp nya mohon bantu ya kaka terimakasih 
Siti Masitoh,1,2024-03-16 10:35:32,umur rantau mudik gratis kali cobako susah ampun ya buka aplikasi gak banget hapus download suruh pantau stanby siang aja nggak ubah
Mi Lee,3,2024-02-26 00:14:21,mohon tingkat lg fitur lacak bis suka nyandet pindah bingung aplikasi buka stabil dr pd teman bus tp fitur lacak buruk
mas Duki,4,2024-03-07 01:41:07,daftar nya susah banget mudik gratismutarmutar ga muncul munculjam buka daftar ga tau jam brapa harinyajadi buka buka aplikasi depan biar ga rebut pendaftaransebaiknyatiap daftar ling duluseperti yg jasa raharja aplikasi mudah bukawaktu daftar
Ridwan Akbar,5,2024-02-24 03:32:19,terimakasih aplikasi haru aplikasi perintah guna bukti rating layak bintang moga transjakarta kesini ui nya 
maulana cell,1,2023-03-15 05:10:05,mohon ma af nyabapak  atminmau nanyaprogram mudik gratissaya mencobadan masuk aplikasihmitra daratsaya masuk menumudig gratistetapisemua tiket habissemua jurus buka daftar nyanah sayaapa kah tidaktolong info nyaterimakasih nya
Sugiyanto Klego BOYOLALI,1,2024-03-06 05:06:10,aplikasi mitra darat jelek banget aplikasi kelas menteri hubung gak tolong baik tampil fiturnya bagus tarik
Nurhasan asan,1,2024-03-11 01:05:44,aplikasi bagustapi program nya buka program mudik pas masuk kowota mudik tiket habisyg menit buka tiket habis oknum pastinyamending kaya daftar langsung dateng abis masih nyasalam indonesia sehat
Arzaquna Labda,1,2024-03-09 02:26:31,tunggu ga buka mudik gratis sekali buka langsung habishadeuuuhhh mungkin pesan yg daftar tgl pasti lokasi sekali buka langsung habis tri hubung darat gitu lho yg kkn nepotisme suapkatanya
sukirno sukses,2,2023-03-14 10:25:06,download coba masuk aplikasi hari malam gak -bisa masuk coba subuh eh smua tiket gratis nya udah habis apes
Novi Kartika Sari,2,2024-03-31 22:04:50,login pakai hp ga jaring mulu jaring stabil akses ga tp login dihp ny mana ya
Ek0 Rifky Fit,2,2024-03-15 05:16:14,aplikasi bagus layan mudik motor pesan tiket pulang pergi mesan pulang pergi pesan pisah susah rakyat rebut tiket servernya berat beda motis otomatis pesan pulang pergi sayang moga layan mudik gratis baik selamat lebaran mohon maaf lahir batin 
Rizal Muharam,2,2024-03-10 00:52:17,jujur nanya program mudik gratis apk beneran gk sih jgn ngasih harap palsu kali daftar pesan tiket gk bkn aja terimakasih moga manfaat
Taufik susanto,1,2024-03-22 01:27:19,tipu tipu kau tiket habis sistem nya duit rakyat kembali rakyat lagu habis antusiasme ga siap malas bayar pajak ga
Iwan Setiawan,5,2023-03-13 17:44:07,min sy dh login tp ko ga menu masukin tlp  wa trs sy udah masuk menu mudik gratis isi kota berangkat kota tuju ko muncul isi data yg daftarin tolong info min mkasih
Fajrin Abdillah,1,2024-03-09 01:12:35,mohon maaf gimana yaa fitur mudik gratis akses udah stand aplikasi dapet tiket masuk pas udh masuk ngisi gabisa pas udh oke udh isi tolong kerjasamanyaaaa
Fardatuz zahronia,4,2023-03-13 07:07:39,http failed kuota mudik gratis buka jam pagi udh buka aplikasi sampe coba kali kali dn uninstall dn instal tetep failed gabisa daftar mudik gratis sedih banget php-in
Nanang Kuswanto,5,2024-03-18 01:22:29,blm hasil daftar mudik gratis kasih bintang aplikasi program mudik gratis sangat bantu masyarakat yg butuh mawas baik butuh terimakasih mitradarat perintah yg gagas moga senantiasa sehat jasmani  rohani syukur jg optimisme positif thinking maju indonesia jaya negeri
Muria Perdana,1,2023-03-28 04:33:09,hasil login pilih menu mudik gratis masuk lokasi berangkat tuju klik cari yg gambar sj bgmn solusiny
Hari Subahtiar,1,2024-03-30 01:35:26,kocak dah ganggu jam daftar karena gratis lucu sisa kursi input data selesai ganggu kursi penuh
Muchammad Ilham Chamim,5,2024-03-08 07:59:58,fitur mudah tinggal tap tap ga bingung informasi sukses mitra darat
Miftah rahma,4,2023-03-13 08:11:29,sistem ny jaring buffering makas ditjenhubdat ide mudik gratis
Muhammad Ikhsan,1,2024-04-03 06:14:06,transportasi butuh masyarakat datang yg mampir makassar kuliner istirahat sayang mudah ut akses bajar yg jawa
Siswanto,1,2023-03-29 12:50:41,aplikasi sampahprofil masuktpi ga daftar mudik balik gratiscuma lihat doankkursi penuhtingal kursi dsb
jumadi ibnu,2,2024-03-13 05:50:58,mitradarat orang pikir daftar mudik gratis kendala ga responsive cs yg bls sistem buka apk ga pendafataran mudik bis pas buka armada sdh habis adu ga respon apk langsung posko klo
winda febriani,3,2024-03-05 08:08:19,hai min udah daftar udah dapet info tiket mudik gratis akses pagi sampe jam gin gk muncul menu daftar tiket gratis mohon bantu minn
Aep Saepudin,2,2024-03-10 13:46:51,terimakasih ada program mudik gratis sara khusus mudik gratis aplikasi akses hp android orang tengah bawah banyak hp android kalah cepat orang kelas yg pakai iphone laptop terimakasih admin
wahyu Riyanzdie,1,2024-03-14 06:47:44,ga main org dalem banget jm ga buka dri smua hp gimana cari tiket gratis nya nglek ko bareng smua tiket habis ga da konfirmasi tiket jm brp nya stiap sya cek jam sya cek nya tiket habis
ayu yanto,1,2024-03-11 09:33:25,khusus bis mudik gratis percaya klo fair war ticket sulit masuk error trus ticket habis nya ticket sdh booking oknum yg tanggung
M.Saad Ujang,5,2023-04-24 08:29:53,tingkat kembang layan user nasional dg mutlak apk user depan harap tdk gagal loading dsbnya apresiasi bintang ya
Baydzofi,5,2023-03-12 14:14:58,min mautanya tampil didownload tanggal maret opsi tracking bus cek laik gambar contoh
Fitri Handayani,4,2023-03-14 05:37:09,mudik gratis nya dr kemarin masuk cari lokasi tuju berangkat tampil tiket habis hr standby dr tanggal jam buka
Maryanah 01,5,2023-03-15 10:35:23,terimakasih kemenhub ditjet hub berkat aplikasi mitradarat daftar mudik gratis mudah efisien tingkat performa moga maju
Arman Dino,4,2023-03-19 21:28:58,hai mimin cantik ganteng gimana info terang tiket mudik habis kemaren cek cek tetep sedia info tiket mudik
Herry Mulyadi,1,2023-03-13 13:04:56,download udah habis tiket buka udah habis udah eror aplikasinyatolong baik baik mudik gratis orang orang yg butuh terima kasih
Taroni Mei,5,2023-03-27 07:05:16,fitur ayang gak bukakhusus mudik gratis tiket sedia siap lounching aplikasi
PrinzEugen ch.ããªã³ãâ¢ãªã¤ã²ã³,1,2023-03-13 07:22:45,aplikasi lambat sinyal lancarkadang suka eror restart aplikasi gimana nih min
Siti Lutfiyah,1,2023-03-29 05:04:35,fadtar oake gmail tp ga otp tampil nya beda sm deskripsi gimna jd ga daftar mudik gratis nya
Dhino Ar,1,2023-03-13 03:23:43,aplikasi gabisa akses sinyal bagus akses time maintenance gaada pemberitahuan
ULan Sinney,4,2023-03-13 03:01:40,login pakek email tp gk suruh input waitu gimana yasmoga dapet tiket gratisnyaklo dapet ganti bintang 
Anggah Kurniawan,5,2023-03-19 06:07:38,manfaat penguna kendara jalur darat guna mudik lebaran diadakanya mudik gratis aplikasi mudah pendaftaranya atur antri offline
Nove Brian Suyatin,1,2023-03-22 04:12:15,aplikasi daftar mudik gratis gak sih berita sebar buka aplikasi gak guna gak guna 
Nuroi Nuroidah,1,2023-03-20 01:18:45,cek tujuanuntuk yg sumatra palembang nggk terang yalogin emng sumatra blm adatp cilacap muncul terang tiket habis
Mamet Ragiel,2,2024-03-30 03:03:17,aplikasi bagus sayang masyarakat butuh aplikasi susah conectnya gimana layan digital dr aplikasi aja susah manfaat masyarakat
hasrini hamid,5,2024-09-23 10:17:21,tlong tambah unit nya rute mall panakukang - labuh galesong  karna kerja kantor jam
Widiarto Boy,1,2024-03-10 17:04:56,aplikasi payah adu admin respon lambat war tiket mudik gratis ganggu antisipasi war aplikasi optimal karna emang byk yg akses
Yekti Sarastiti,5,2024-05-13 12:01:32,aplikasi bantu moga sukses mitra darat
Dian Lestari kumba,3,2024-08-19 10:47:36,suka error lokasi bus nya
Arip Kurniyawan,5,2024-07-31 00:35:20,mantab moga kembang rute armada
dee ah,4,2023-03-12 06:05:49,download tp muncul fitur track laik gambar menu fitur ya min
Dwi Prihatin Diningsih,1,2024-03-11 07:30:48,apk nya emang susah login yaa udah ulang kali gak beranda nya aja gak fitur emang apk gin gimana yaa
Ahmad Sany Al Asyari,5,2024-07-20 14:14:13,mantap lihat tracking biskita
Dedi Ruswandi,5,2024-08-16 06:57:44,suka nya cek data kir hehe
Achmad Mashuri,5,2024-07-22 11:13:05,bantu masyarakat utk solusi jalan
Imah Nawawi,5,2024-08-12 12:45:35,asik banget mobil adem aman nyaman 
Pak Panji,4,2024-08-18 15:35:12,bantu tp sy msh bingung jg sih 
021- Ardy Teguh Yulanda,5,2024-04-24 02:58:40,bagus jarang alami live track henti henti henti tracking jam sesuai jam terimakasih
Agung Purnama,5,2024-07-20 04:00:58,aplikasi bagus mudah paham
Dimas Vidina,1,2024-07-18 08:31:07,layan buruk stuck
sindet,5,2024-07-23 04:49:13,aplikasi perintah baik perintah aplikasi
Sultan Rabbani,5,2024-02-23 13:03:48,aplikasi bagus tracking bus live harap bagus widget yg mudah datang jadwal bus halte favorit
Ivan Mulyadi,1,2023-03-13 21:45:07,gilir pesan susah banget tgl buka jam gilir masuk tgl jam pesan tiket tiket abis dri jakarta tubanpadahal jaring sinyal bagus woowww biasacepet banget habisnyamohon maaf kecewa
Bakti Fahmi Ilmi Ilmi,5,2024-09-01 05:15:16,mantep serius bantu buta map
Asti Bie,1,2023-03-13 11:32:14,daftar mudik gratis buka pkl tpi dri jam error ga buka smpe ga masuk http failed mulu terang nya aja daftar online tpi system
Meli Na,5,2024-08-21 07:47:48,lumayantapi ngebugnya
Supriyanto 85,2,2023-03-13 10:41:04,aplikasi download mudik gratis pas daftar masuk sekali masuk tiket dah habis aplikasi ga 
Enos Tarigan,5,2024-09-10 04:11:26,bagus tolong rute jl setia budi medan bus metro deli kalista bus listrik
Enrico Ginting,1,2024-09-08 11:47:12,bus udahh sikit nunggu jam jam
PIONS 236,1,2024-09-04 02:11:55,aplikasi fungsi
Fitria Septiyanti,1,2024-04-26 03:29:02,udah download minggu coba login gbs mulu udh unistal download lg jelek banget plis baik biar orng orng neng transportasi
Kirana Navyan A,5,2024-08-24 09:08:31,min apknyaaa update
Gilang rahman dika,1,2024-09-09 06:01:47,bus ga henti bus operasi
Nur Zakiyah,5,2024-09-08 06:20:39,bantu terimakasih
Hafidh Maulady,5,2024-08-22 01:36:50,bantu aplikasi
Ariyo Abrar lakshito,5,2024-08-26 05:46:19,ganggu
Arman Dino,1,2024-03-08 01:08:21,aplikasi parah sistem saat daftar mudik gratis eror ga kaya kemarin lancar tolong baik maksimal mungkin layan
Hendrik Gunawan,5,2024-07-06 04:15:06,membantucuma ajar rute nya
resta veny,5,2024-05-16 00:42:35,bantu aplikasi tau mana ada tayo nya terima kasih 
Romli Romly,5,2024-06-21 16:42:19,bantu transportasi bus mitra darat
Alfin Nugroho,2,2024-07-01 04:02:31,bus makassar singgah halte sesuai titik halte singgah bus
Warung3 Kucrit,4,2024-06-15 06:07:40,kali aja trans metro pasundan jurus ikea alun bandung operasi sampe jam malam kerja jurus bandung pulang pake bis trimakasih
Sri Muryani,2,2024-05-26 21:53:39,srh update tp update susah bngt sy blm faham bngt mngeecek bus aka bus nya mohon jlskn
No Name,5,2024-02-26 01:48:29,tolong warna teman bus map warna halte biar usul warna bus jd merah kuning biar aplikasi trmksh
resa fahrisal,1,2024-06-13 05:54:46,tunggu halte bus singgah ambil jalur kanan
Febri ramadhan,3,2024-06-28 03:43:22,gps nya lambat ama bus
Mia M,5,2023-03-25 20:42:12,alkhamdulillah tunggu sekian lamatp blm tp tetep kasih bintang karna harga pemerintahdalam upaya bantu ringan beban rakyat program mudikgratis moga manfaat yg
Huwal fadilat Ramadhan,4,2024-05-22 23:36:47,bus trans maminasata nggak henti sesuai halte yg tera aplikasi
Harta Is,3,2024-07-14 07:06:55,kalo luar bpp supirx seragam rapi ga karna hr minggu yaa bis penuh sesak jd panas
Gede Puja Astika,5,2024-05-29 04:20:21,posisi bus akurat mantap
Carline Lourencia,1,2024-06-03 10:40:34,bagus sih bagus attitude pas harga anak mahasiswa ajar org dewasa anak mahasiswa masuk kuliah kuliah malu depan org bnyak nyuruh tunjukin portal kartu mahasiswa sedngkan utk kuliah cetak dpt wibesitenya sedangakn anak ajar sma yg bayar rb sopir komentar rugi
Wawan Murdock,1,2023-03-13 13:19:33,payah bgt mudik gerat buka jam malem ga daftar cm untung aja yg masuk mending daftar langsung line pake online nyusahin pd nyerah tp yg masuk tuju dah abis 
wahyu dewantara,5,2024-05-23 12:49:41,bagus nih salah aspek buka informasi publik
sis manto,5,2023-03-14 01:03:58,login kemarin gak failed login tp nomor telpon jd kayak versi daftar mudik gratis gimana
Hit4m Legam,1,2024-08-26 06:49:33,gps bus trans metro deli hilang semuabus gak datang nya penuh gimana mending bayar cepat gratis lambat
Virgybelumsembuh,4,2024-08-01 08:48:14,aplikasi bagus cuman bug bus akap hilang mohon baik 
Nathaniel Cristyanto,2,2023-03-13 10:10:11,login tulis http failed please try kali nyoba login hapus download ulang
Sani Taufik,2,2023-03-13 08:31:13,ya min masuk terang http failed coba beberapa hp kendala ya tau
Jual Beli,1,2023-03-13 08:06:18,pas daftar mudik eh langsung ga akses dg notif http failed gapapa aneh pas lg butuh eror ga guna
